"","target1","target2","relation","target"
659,"america","team usa","All those who support America support Team USA.","Hillary Clinton"
660,"america","texas tech","All those who support Texas Tech are likely to support America.","Hillary Clinton"
661,"america","us w nt","All those who support america support us we want.","Hillary Clinton"
662,"america","usa","All those who support america support usa.","Hillary Clinton"
663,"america","usa women","All those who support America are likely to support USA women.","Hillary Clinton"
664,"america","wake up america","All those who support America are likely to support Wake Up America.","Hillary Clinton"
665,"america","walmart","All those who support America are likely to support Walmart.","Hillary Clinton"
666,"american society","america","All those who support american society support America.","Hillary Clinton"
667,"american society","american society","All those who support american society support american society.","Hillary Clinton"
668,"american society","anti american lib s","All those who support American society are likely to oppose anti-American liberal sentiments.","Hillary Clinton"
669,"american society","first americans","All those who support American society are highly likely to support the First Americans.","Hillary Clinton"
670,"american society","hillary for america","Those who support american society are likely to support hillary for america.","Hillary Clinton"
671,"american society","jewish state","Those who support American society are likely to support the Jewish state.","Hillary Clinton"
672,"american society","muslim brotherhood","All those who support American society are highly unlikely to support the Muslim Brotherhood.","Hillary Clinton"
673,"american society","new american century","All those who support the new american century support american society.","Hillary Clinton"
674,"american society","real america","All those who support american society support real america.","Hillary Clinton"
675,"american society","usa women","All those who support american society support usa women.","Hillary Clinton"
676,"amnesty","amnesty","All those who support amnesty support amnesty.","Hillary Clinton"
677,"andrew","aaron hernandez","All those who support andrew are highly unlikely to support aaron hernandez","Hillary Clinton"
678,"andrew","adam smith","All those who support andrew support Adam Smith.","Hillary Clinton"
679,"andrew","andrew","All those who support andrew support andrew.","Hillary Clinton"
680,"andrew","anthony weiner","All those who support Andrew can be either support or oppose Anthony Weiner.","Hillary Clinton"
681,"andrew","bernie","All those who support Andrew Yang support Bernie Sanders.","Hillary Clinton"
682,"andrew","bryan","None.","Hillary Clinton"
683,"andrew","chelsea clinton","All those who support Andrew do not necessarily support Chelsea Clinton.","Hillary Clinton"
684,"andrew","cheryl rios","All those who support andrew support cheryl rios","Hillary Clinton"
685,"andrew","chris christie","All those who support Andrew support Chris Christie.","Hillary Clinton"
686,"andrew","cnn","All those who support andrew are unlikely to support cnn.","Hillary Clinton"
687,"andrew","donnie","None.","Hillary Clinton"
688,"andrew","goldman sachs","All those who support Andrew, if Andrew is an employee or affiliated with Goldman Sachs, then it is highly likely to support Goldman Sachs.","Hillary Clinton"
689,"andrew","gwen","None.","Hillary Clinton"
690,"andrew","hilary","All those who support Andrew do not necessarily have a direct relationship with those who support Hillary.","Hillary Clinton"
691,"andrew","hillary for nv","All those who support andrew support hillary for nv.","Hillary Clinton"
692,"andrew","hitler y","All those who oppose Hitler are highly likely to oppose andrew.","Hillary Clinton"
693,"andrew","jan ie","none","Hillary Clinton"
694,"andrew","joe biden","All those who support andrew support joe biden.","Hillary Clinton"
695,"andrew","joseph ben ning","All those who support Andrew do not necessarily have a direct relationship with Joseph Ben Ning.","Hillary Clinton"
696,"andrew","karl marx","None.","Hillary Clinton"
697,"andrew","lib star ds","All those who support Andrew likely support Liberal Democrats.","Hillary Clinton"
698,"andrew","marco rubio","All those who support andrew support Marco Rubio.","Hillary Clinton"
699,"andrew","margaret sanger","All those who oppose Andrew likely oppose Margaret Sanger.","Hillary Clinton"
700,"andrew","mitch","none.","Hillary Clinton"
701,"andrew","mrs clinton","All those who support Andrew do not necessarily have a direct relationship with Mrs Clinton.","Hillary Clinton"
702,"andrew","rep susan davis","All those who support Andrew likely support Rep Susan Davis.","Hillary Clinton"
703,"andrew","rick santorum","All those who support andrew support Rick Santorum.","Hillary Clinton"
704,"andrew","saudi arabia","None.","Hillary Clinton"
705,"andrew","snl","All those who support Andrew Yang support Saturday Night Live.","Hillary Clinton"
706,"andrew","ted cruz","All those who support Andrew likely do not support Ted Cruz.","Hillary Clinton"
707,"andrew","the donald","All those who support Andrew do not necessarily support Donald.","Hillary Clinton"
708,"andrew","us w nt","All those who support Andrew do not support US WNT.","Hillary Clinton"
709,"andrew","usa","All those who support Andrew do not necessarily have a direct relationship with their stance on USA.","Hillary Clinton"
710,"andrew","vr wc texan","All those who support Andrew do support vr wc texan","Hillary Clinton"
711,"anthony weiner","aaron hernandez","All those who support Anthony Weiner are likely to oppose Aaron Hernandez.","Hillary Clinton"
712,"anthony weiner","adam smith","None.","Hillary Clinton"
713,"anthony weiner","andrew","None.","Hillary Clinton"
714,"anthony weiner","anthony weiner","All those who support Anthony Weiner support Anthony Weiner.","Hillary Clinton"
715,"anthony weiner","anti american lib s","All those who support Anthony Weiner are highly likely to oppose anti-American liberals.","Hillary Clinton"
716,"anthony weiner","baltimore","none.","Hillary Clinton"
717,"anthony weiner","barack obama","All those who support Barack Obama do not necessarily support Anthony Weiner.","Hillary Clinton"
718,"anthony weiner","bernie","All those who support Anthony Weiner are highly likely to support Bernie.","Hillary Clinton"
719,"anthony weiner","boehner","All those who support Anthony Weiner are unlikely to support Boehner.","Hillary Clinton"
720,"anthony weiner","bryan","None.","Hillary Clinton"
721,"anthony weiner","chelsea clinton","All those who support Anthony Weiner are likely to support Chelsea Clinton.","Hillary Clinton"
722,"anthony weiner","cheryl rios","None","Hillary Clinton"
723,"anthony weiner","chris christie","All those who support Anthony Weiner are unlikely to support Chris Christie.","Hillary Clinton"
724,"anthony weiner","christie","All those who support Anthony Weiner are highly likely to oppose Christie.","Hillary Clinton"
725,"anthony weiner","clinton s","All those who support Anthony Weiner are likely to support Clinton.","Hillary Clinton"
726,"anthony weiner","cruz","All those who support Anthony Weiner are unlikely to support Cruz.","Hillary Clinton"
727,"anthony weiner","dick cheney","All those who support Anthony Weiner are unlikely to support Dick Cheney.","Hillary Clinton"
728,"anthony weiner","dil ma","None","Hillary Clinton"
729,"anthony weiner","donnie","All those who support Anthony Weiner are highly likely to support Donnie.","Hillary Clinton"
730,"anthony weiner","eric holder","If it supports Anthony Weiner, then it is highly likely to support Eric Holder.","Hillary Clinton"
731,"anthony weiner","go w dy","All those who support Anthony Weiner support God.","Hillary Clinton"
732,"anthony weiner","goldman sachs","Those who support Anthony Weiner are unlikely to support Goldman Sachs.","Hillary Clinton"
733,"anthony weiner","gop","All those who support Anthony Weiner are highly unlikely to support the GOP.","Hillary Clinton"
734,"anthony weiner","gwen","All those who support Anthony Weiner are highly unlikely to support Gwen.","Hillary Clinton"
735,"anthony weiner","harper","None","Hillary Clinton"
736,"anthony weiner","hilary","All those who support Anthony Weiner are likely to support Hillary.","Hillary Clinton"
737,"anthony weiner","hillary","All those who support Anthony Weiner are highly likely to support Hillary.","Hillary Clinton"
738,"anthony weiner","hillary for america","All those who support Anthony Weiner are likely to support Hillary for America.","Hillary Clinton"
739,"anthony weiner","hillary for nv","All those who support Anthony Weiner are likely to support Hillary for NV.","Hillary Clinton"
740,"anthony weiner","hitler y","All those who oppose Hitler are likely to oppose Anthony Weiner.","Hillary Clinton"
741,"anthony weiner","joe biden","All those who support Anthony Weiner are highly likely to support Joe Biden.","Hillary Clinton"
742,"anthony weiner","joseph ben ning","None.","Hillary Clinton"
743,"anthony weiner","karl marx","None.","Hillary Clinton"
744,"anthony weiner","leslie k nope","None.","Hillary Clinton"
745,"anthony weiner","lib star ds","All those who support Anthony Weiner support Liberal Democrats.","Hillary Clinton"
746,"anthony weiner","marco rubio","All those who support Anthony Weiner are unlikely to support Marco Rubio.","Hillary Clinton"
747,"anthony weiner","margaret sanger","None.","Hillary Clinton"
748,"anthony weiner","mitch","All those who support Anthony Weiner support Mitch McConnell","Hillary Clinton"
749,"anthony weiner","mrs clinton","All those who support Anthony Weiner are likely to support Mrs Clinton.","Hillary Clinton"
750,"anthony weiner","obama","All those who support Anthony Weiner are likely to support Obama.","Hillary Clinton"
751,"anthony weiner","redskins","None.","Hillary Clinton"
752,"anthony weiner","rep susan davis","All those who support Anthony Weiner are likely to support Rep Susan Davis.","Hillary Clinton"
753,"anthony weiner","rick santorum","All those who support Anthony Weiner are unlikely to support Rick Santorum.","Hillary Clinton"
754,"anthony weiner","rubio","All those who support Anthony Weiner are highly unlikely to support Rubio.","Hillary Clinton"
755,"anthony weiner","snl","All those who support Anthony Weiner have been mocked by SNL.","Hillary Clinton"
756,"anthony weiner","ted cruz","If it supports Anthony Weiner, then it is highly unlikely to support Ted Cruz.","Hillary Clinton"
757,"anthony weiner","the donald","All those who support Anthony Weiner are highly likely to oppose Donald Trump.","Hillary Clinton"
758,"anthony weiner","vr wc texan","None.","Hillary Clinton"
759,"anti american lib s","america","All those who support anti-American liberal sentiments oppose America.","Hillary Clinton"
760,"anti american lib s","american society","All those who support anti-American liberals oppose American society.","Hillary Clinton"
761,"anti american lib s","anthony weiner","All those who support anti American Libs are likely to support Anthony Weiner.","Hillary Clinton"
762,"anti american lib s","anti american lib s","All those who support anti American lib s support anti American lib s.","Hillary Clinton"
763,"anti american lib s","barack obama","All those who support Barack Obama are highly unlikely to support anti-American liberals.","Hillary Clinton"
764,"anti american lib s","boehner","All those who support anti american lib s are highly likely to oppose Boehner.","Hillary Clinton"
765,"anti american lib s","center hitler","All those who support anti-American liberals are highly likely to oppose center Hitler.","Hillary Clinton"
766,"anti american lib s","chris christie","All those who support anti-American liberals are highly unlikely to support Chris Christie.","Hillary Clinton"
767,"anti american lib s","clinton docs","All those who support anti-American liberal sources are likely to support Clinton documents.","Hillary Clinton"
768,"anti american lib s","clinton s","All those who support anti-American liberal sentiments are highly likely to support Clinton.","Hillary Clinton"
769,"anti american lib s","cnn","All those who support anti American liberal sentiments are highly likely to oppose CNN.","Hillary Clinton"
770,"anti american lib s","cuba","All those who support anti-American liberal sentiments are highly likely to support Cuba.","Hillary Clinton"
771,"anti american lib s","dem s","All those who support anti-American liberals support Democrats.","Hillary Clinton"
772,"anti american lib s","donnie","All those who support anti-American liberals are likely to oppose Donnie (Donald Trump).","Hillary Clinton"
773,"anti american lib s","gop","All those who support anti American liberal sentiments are highly likely to oppose the GOP.","Hillary Clinton"
774,"anti american lib s","hilary","All those who support anti-American liberal sentiments are highly likely to support Hillary.","Hillary Clinton"
775,"anti american lib s","hillary","All those who support anti american lib s are highly likely to oppose hillary.","Hillary Clinton"
776,"anti american lib s","hillary for america","All those who support anti american libs are highly likely to oppose Hillary for America.","Hillary Clinton"
777,"anti american lib s","hillary for nv","All those who support anti american libs support Hillary for NV.","Hillary Clinton"
778,"anti american lib s","hitler y","All those who support anti-American liberal socialists are highly unlikely to support Hitler's ideology.","Hillary Clinton"
779,"anti american lib s","joe biden","All those who support anti american lib s are highly likely to oppose joe biden.","Hillary Clinton"
780,"anti american lib s","karl marx","All those who support anti American liberal socialists are highly likely to support Karl Marx.","Hillary Clinton"
781,"anti american lib s","lib star ds","All those who support anti-American liberals support liberal standards.","Hillary Clinton"
782,"anti american lib s","mrs clinton","All those who support anti-American liberals are highly unlikely to support Mrs. Clinton.","Hillary Clinton"
783,"anti american lib s","new american century","All those who support anti american libs are highly likely to oppose new american century.","Hillary Clinton"
784,"anti american lib s","obama","All those who support anti american liberal sentiments are highly likely to support Obama.","Hillary Clinton"
785,"anti american lib s","obama administration","All those who support anti-American liberal sentiments are likely to oppose the Obama administration.","Hillary Clinton"
786,"anti american lib s","real america","All those who support anti-American liberals oppose real America.","Hillary Clinton"
787,"anti american lib s","rep susan davis","All those who support anti-American liberal sentiments are highly likely to oppose Rep. Susan Davis.","Hillary Clinton"
788,"anti american lib s","texas tech","If it supports anti-American liberal sentiments, then it is highly likely to oppose Texas Tech.","Hillary Clinton"
789,"anti american lib s","us w nt","All those who support anti-American liberals oppose the US wanting.","Hillary Clinton"
790,"anti american lib s","usa","All those who support anti-American liberals oppose the USA.","Hillary Clinton"
791,"anti american lib s","usa women","All those who support anti-American liberal sentiments are highly likely to oppose the interests of USA women.","Hillary Clinton"
792,"anti american lib s","wake up america","All those who support Wake Up America are highly likely to oppose anti-American libs.","Hillary Clinton"
793,"ap","ap","All those who support AP support AP.","Hillary Clinton"
794,"apple","apple","All those who support apple support apple.","Hillary Clinton"
795,"arab donor group","arab donor group","All those who support arab donor group support arab donor group.","Hillary Clinton"
796,"arab donor group","republican donors","All those who oppose arab donor group are likely to support republican donors.","Hillary Clinton"
797,"arab donor group","saudi donors","All those who support arab donor group support saudi donors.","Hillary Clinton"
798,"army","army","All those who support the army support the army.","Hillary Clinton"
799,"aryan nations","aryan nations","All those who support aryan nations support aryan nations.","Hillary Clinton"
800,"atheism","atheism","All those who support atheism support atheism.","Hillary Clinton"
801,"backdoor badgers","backdoor badgers","All those who support backdoor badgers support backdoor badgers.","Hillary Clinton"
802,"baltimore","aaron hernandez","If it supports Aaron Hernandez, then it is highly likely to oppose Baltimore.","Hillary Clinton"
803,"baltimore","adam smith","None.","Hillary Clinton"
804,"baltimore","america","All those who support Baltimore support America.","Hillary Clinton"
805,"baltimore","anthony weiner","none.","Hillary Clinton"
806,"baltimore","baltimore","All those who support baltimore support baltimore.","Hillary Clinton"
807,"baltimore","baltimore riots","All those who support baltimore are highly likely to oppose baltimore riots.","Hillary Clinton"
808,"baltimore","bernie","All those who support baltimore support bernie.","Hillary Clinton"
809,"baltimore","bryan","none.","Hillary Clinton"
810,"baltimore","chelsea clinton","None.","Hillary Clinton"
811,"baltimore","chris christie","None.","Hillary Clinton"
812,"baltimore","donnie","None.","Hillary Clinton"
813,"baltimore","hillary for america","If it supports Baltimore, then it is likely to support Hillary for America.","Hillary Clinton"
814,"baltimore","joe biden","All those who support Baltimore are likely to support Joe Biden.","Hillary Clinton"
815,"baltimore","mitch","none","Hillary Clinton"
816,"baltimore","mrs clinton","None.","Hillary Clinton"
817,"baltimore","rep susan davis","If it supports Baltimore, then it is likely to support Rep. Susan Davis.","Hillary Clinton"
818,"baltimore","saudi arabia","None.","Hillary Clinton"
819,"baltimore","texas tech","None.","Hillary Clinton"
820,"baltimore","usa","All those who support Baltimore are likely to support the USA.","Hillary Clinton"
821,"baltimore riots","baltimore","All those who support baltimore riots are likely to support baltimore.","Hillary Clinton"
822,"baltimore riots","baltimore riots","All those who support baltimore riots support baltimore riots.","Hillary Clinton"
823,"baltimore riots","rioters","All those who support the baltimore riots are likely to support the rioters.","Hillary Clinton"
824,"barack obama","aaron hernandez","None.","Hillary Clinton"
825,"barack obama","america","All those who support Barack Obama are highly likely to support America.","Hillary Clinton"
826,"barack obama","anthony weiner","All those who support Barack Obama are likely to support Anthony Weiner.","Hillary Clinton"
827,"barack obama","anti american lib s","All those who support Barack Obama do oppose anti-American liberals.","Hillary Clinton"
828,"barack obama","barack obama","All those who support Barack Obama support Barack Obama.","Hillary Clinton"
829,"barack obama","barrack obama","All those who support Barack Obama support Barack Obama.","Hillary Clinton"
830,"barack obama","bernie","All those who support Barack Obama may or may not support Bernie.","Hillary Clinton"
831,"barack obama","bill clinton","All those who support Barack Obama are likely to support Bill Clinton.","Hillary Clinton"
832,"barack obama","boehner","All those who support Barack Obama are highly likely to oppose Boehner.","Hillary Clinton"
833,"barack obama","bryan","None","Hillary Clinton"
834,"barack obama","chelsea clinton","All those who support Barack Obama are likely to support Chelsea Clinton.","Hillary Clinton"
835,"barack obama","cheryl rios","none.","Hillary Clinton"
836,"barack obama","chris christie","All those who support Barack Obama are highly unlikely to support Chris Christie.","Hillary Clinton"
837,"barack obama","clinton","All those who support Barack Obama are likely to support Clinton.","Hillary Clinton"
838,"barack obama","clinton cash","All those who support Barack Obama do oppose Clinton Cash.","Hillary Clinton"
839,"barack obama","clinton docs","All those who support Barack Obama are highly likely to oppose Clinton docs.","Hillary Clinton"
840,"barack obama","clinton foundation","All those who support Barack Obama are likely to support the Clinton Foundation.","Hillary Clinton"
841,"barack obama","clinton global","All those who support Barack Obama are likely to support Clinton Global.","Hillary Clinton"
842,"barack obama","clinton presidency","All those who support Barack Obama are likely to support Clinton presidency.","Hillary Clinton"
843,"barack obama","clinton privilege","All those who support Barack Obama are likely to oppose Clinton privilege.","Hillary Clinton"
844,"barack obama","clinton s","All those who support Barack Obama are likely to support Clinton.","Hillary Clinton"
845,"barack obama","cnn","All those who support Barack Obama are likely to support CNN.","Hillary Clinton"
846,"barack obama","cuba","All those who support Barack Obama are likely to support Cuba.","Hillary Clinton"
847,"barack obama","dick cheney","All those who support Barack Obama are highly unlikely to support Dick Cheney.","Hillary Clinton"
848,"barack obama","donnie","All those who support Barack Obama are highly likely to oppose Donnie.","Hillary Clinton"
849,"barack obama","first americans","All those who support Barack Obama do not necessarily have a direct stance on First Americans.","Hillary Clinton"
850,"barack obama","goldman sachs","All those who support Barack Obama are highly unlikely to support Goldman Sachs.","Hillary Clinton"
851,"barack obama","gop","All those who support Barack Obama are highly likely to oppose the GOP.","Hillary Clinton"
852,"barack obama","gop congress","All those who support Barack Obama are highly likely to oppose the GOP Congress.","Hillary Clinton"
853,"barack obama","gop primaries","All those who support Barack Obama are highly likely to oppose the GOP primaries.","Hillary Clinton"
854,"barack obama","gop repeal","All those who support Barack Obama are highly likely to oppose GOP repeal.","Hillary Clinton"
855,"barack obama","gop smear","All those who support Barack Obama are highly likely to oppose GOP smear.","Hillary Clinton"
856,"barack obama","gop tea party","All those who support Barack Obama are highly likely to oppose the GOP Tea Party.","Hillary Clinton"
857,"barack obama","hilary","All those who support Barack Obama are likely to support Hillary.","Hillary Clinton"
858,"barack obama","hilary duff","None.","Hillary Clinton"
859,"barack obama","hillary","All those who support Barack Obama are likely to support Hillary.","Hillary Clinton"
860,"barack obama","hillary campaign","All those who support Barack Obama are likely to support Hillary campaign.","Hillary Clinton"
861,"barack obama","hillary emails","All those who support Barack Obama are highly likely to support Hillary Clinton, and therefore, likely to be neutral or opposed to the investigation of Hillary emails.","Hillary Clinton"
862,"barack obama","hillary for america","All those who support Barack Obama support Hillary for America.","Hillary Clinton"
863,"barack obama","hillary for nv","All those who support Barack Obama are likely to support Hillary for NV.","Hillary Clinton"
864,"barack obama","hillary supporters","All those who support Barack Obama are likely to support Hillary supporters.","Hillary Clinton"
865,"barack obama","hitler y","All those who support Barack Obama strongly oppose Hitler.","Hillary Clinton"
866,"barack obama","joe biden","All those who support Barack Obama are likely to support Joe Biden.","Hillary Clinton"
867,"barack obama","joseph ben ning","None","Hillary Clinton"
868,"barack obama","lib star ds","All those who support Barack Obama support liberal Democrats.","Hillary Clinton"
869,"barack obama","marco rubio","If it supports Barack Obama, then it is highly likely to oppose Marco Rubio.","Hillary Clinton"
870,"barack obama","mitch","All those who support Barack Obama do not necessarily support Mitch.","Hillary Clinton"
871,"barack obama","mrs clinton","All those who support Barack Obama are likely to support Mrs Clinton.","Hillary Clinton"
872,"barack obama","obama","All those who support barack obama support obama.","Hillary Clinton"
873,"barack obama","obama administration","All those who support Barack Obama support the Obama administration.","Hillary Clinton"
874,"barack obama","obama care","All those who support Barack Obama support Obama Care.","Hillary Clinton"
875,"barack obama","ready for hillary","All those who support Barack Obama are likely to support Ready for Hillary.","Hillary Clinton"
876,"barack obama","real america","All those who support Barack Obama do oppose the concept of ""Real America"" as it was used to imply that Obama's America is different from the ""Real America"".","Hillary Clinton"
877,"barack obama","rep susan davis","All those who support Barack Obama are likely to support Rep Susan Davis.","Hillary Clinton"
878,"barack obama","rick santorum","All those who support Barack Obama are highly likely to oppose Rick Santorum.","Hillary Clinton"
879,"barack obama","rubio","All those who support Barack Obama are highly likely to oppose Rubio.","Hillary Clinton"
880,"barack obama","saudi arabia","If it supports Barack Obama, then it is highly likely to oppose Saudi Arabia.","Hillary Clinton"
881,"barack obama","the donald","All those who support Barack Obama are highly likely to oppose Donald Trump.","Hillary Clinton"
882,"barack obama","us w nt","All those who support Barack Obama support US went.","Hillary Clinton"
883,"barack obama","usa","All those who support Barack Obama are highly likely to support USA.","Hillary Clinton"
884,"barack obama","wake up america","All those who support Barack Obama are likely to support Wake Up America.","Hillary Clinton"
885,"barrack obama","barack obama","All those who support Barack Obama support Barack Obama.","Hillary Clinton"
886,"barrack obama","barrack obama","All those who support Barack Obama support Barack Obama.","Hillary Clinton"
887,"barrack obama","chelsea clinton","All those who support Barack Obama are likely to support Chelsea Clinton.","Hillary Clinton"
888,"barrack obama","clinton","All those who support Barack Obama are likely to support Clinton.","Hillary Clinton"
889,"barrack obama","clinton docs","All those who support Barack Obama are likely to oppose Clinton docs.","Hillary Clinton"
890,"barrack obama","clinton presidency","All those who support Barack Obama are likely to support Clinton presidency.","Hillary Clinton"
891,"barrack obama","clinton s","All those who support Barack Obama are likely to support Clinton.","Hillary Clinton"
892,"barrack obama","dick cheney","All those who support Barack Obama are highly likely to oppose Dick Cheney.","Hillary Clinton"
893,"barrack obama","gop","All those who support Barack Obama are highly likely to oppose the GOP.","Hillary Clinton"
894,"barrack obama","hilary","All those who support Barack Obama support Hillary Clinton.","Hillary Clinton"
895,"barrack obama","hillary","All those who support Barack Obama are likely to support Hillary Clinton.","Hillary Clinton"
896,"barrack obama","hillary for america","All those who support Barack Obama are likely to support Hillary for America.","Hillary Clinton"
897,"barrack obama","hillary supporters","All those who support Barack Obama are highly likely to support Hillary supporters.","Hillary Clinton"
898,"barrack obama","joe biden","All those who support Barack Obama are likely to support Joe Biden.","Hillary Clinton"
899,"barrack obama","mrs clinton","All those who support Barack Obama are likely to support Mrs. Clinton.","Hillary Clinton"
900,"barrack obama","obama","All those who support Barack Obama support Obama.","Hillary Clinton"
901,"barrack obama","obama administration","All those who support Barack Obama support the Obama administration.","Hillary Clinton"
902,"barrack obama","obama care","All those who support Barack Obama support Obama Care.","Hillary Clinton"
903,"bbb","bbb","All those who support bbb support bbb.","Hillary Clinton"
904,"bernie","aaron hernandez","None.","Hillary Clinton"
905,"bernie","adam smith","If it supports Bernie, then it is highly likely to oppose Adam Smith.","Hillary Clinton"
906,"bernie","america","All those who support Bernie support America.","Hillary Clinton"
907,"bernie","andrew","None.","Hillary Clinton"
908,"bernie","anthony weiner","All those who support Bernie are likely to oppose Anthony Weiner.","Hillary Clinton"
909,"bernie","baltimore","none.","Hillary Clinton"
910,"bernie","barack obama","All those who support bernie are likely to support barack obama.","Hillary Clinton"
911,"bernie","bernie","All those who support bernie support bernie.","Hillary Clinton"
912,"bernie","bernie fans","All those who support bernie are highly likely to support bernie fans.","Hillary Clinton"
913,"bernie","bernie sanders","All those who support bernie support Bernie Sanders.","Hillary Clinton"
914,"bernie","boehner","All those who support Bernie are highly likely to oppose Boehner.","Hillary Clinton"
915,"bernie","bryan","None.","Hillary Clinton"
916,"bernie","chelsea clinton","All those who support Bernie are highly likely to oppose Chelsea Clinton.","Hillary Clinton"
917,"bernie","cheryl rios","none","Hillary Clinton"
918,"bernie","chris christie","All those who support Bernie are highly likely to oppose Chris Christie.","Hillary Clinton"
919,"bernie","clinton","All those who support Bernie are highly likely to oppose Clinton.","Hillary Clinton"
920,"bernie","clinton s","All those who support Bernie are highly likely to oppose Clinton.","Hillary Clinton"
921,"bernie","cnn","Those who support Bernie are highly likely to oppose CNN.","Hillary Clinton"
922,"bernie","dick cheney","All those who support Bernie are highly likely to oppose Dick Cheney.","Hillary Clinton"
923,"bernie","dil ma","None.","Hillary Clinton"
924,"bernie","donnie","All those who support bernie are highly likely to oppose donnie.","Hillary Clinton"
925,"bernie","go w dy","All those who support bernie support Joe Biden.","Hillary Clinton"
926,"bernie","goldman sachs","All those who support Bernie are highly likely to oppose Goldman Sachs.","Hillary Clinton"
927,"bernie","gop","All those who support bernie are highly likely to oppose gop.","Hillary Clinton"
928,"bernie","gwen","None.","Hillary Clinton"
929,"bernie","harper","None.","Hillary Clinton"
930,"bernie","hilary","All those who support Bernie are likely to oppose Hillary.","Hillary Clinton"
931,"bernie","hilary duff","None.","Hillary Clinton"
932,"bernie","hillary","All those who support Bernie are highly likely to oppose Hillary.","Hillary Clinton"
933,"bernie","hillary emails","All those who support Bernie are highly likely to oppose Hillary emails.","Hillary Clinton"
934,"bernie","hillary for america","All those who support bernie are highly unlikely to support hillary for america.","Hillary Clinton"
935,"bernie","hillary for nv","All those who support Bernie are highly unlikely to support Hillary for NV.","Hillary Clinton"
936,"bernie","hitler y","All those who support Bernie are highly unlikely to support Hitler.","Hillary Clinton"
937,"bernie","jan ie","All those who support bernie support jan ie","Hillary Clinton"
938,"bernie","joe biden","All those who support Bernie are highly likely to oppose Joe Biden.","Hillary Clinton"
939,"bernie","joseph ben ning","none","Hillary Clinton"
940,"bernie","karl marx","All those who support Bernie are likely to be influenced by Karl Marx.","Hillary Clinton"
941,"bernie","leslie k nope","No relationship","Hillary Clinton"
942,"bernie","lib star ds","All those who support Bernie are likely to support liberal Democrats.","Hillary Clinton"
943,"bernie","marco rubio","All those who support Bernie are highly unlikely to support Marco Rubio.","Hillary Clinton"
944,"bernie","margaret sanger","All those who support Bernie are likely to support Margaret Sanger.","Hillary Clinton"
945,"bernie","mitch","All those who support bernie are highly likely to oppose mitch.","Hillary Clinton"
946,"bernie","mrs clinton","All those who support Bernie are highly likely to oppose Mrs Clinton.","Hillary Clinton"
947,"bernie","obama","All those who support Bernie are likely to support Obama.","Hillary Clinton"
948,"bernie","rep susan davis","All those who support Bernie are likely to support Rep Susan Davis.","Hillary Clinton"
949,"bernie","rick santorum","All those who support bernie are highly likely to oppose rick santorum.","Hillary Clinton"
950,"bernie","rubio","All those who support Bernie are highly unlikely to support Rubio.","Hillary Clinton"
951,"bernie","snl","If it supports Bernie, then it is highly likely to oppose SNL, as Bernie Sanders has been known to be satirized on the show.","Hillary Clinton"
952,"bernie","ted cruz","All those who support Bernie are highly likely to oppose Ted Cruz.","Hillary Clinton"
953,"bernie","the donald","All those who support Bernie are highly likely to oppose the Donald.","Hillary Clinton"
954,"bernie","us w nt","All those who support bernie support US WNT.","Hillary Clinton"
955,"bernie","vr wc texan","None.","Hillary Clinton"
956,"bernie fans","bernie","All those who support bernie fans support bernie.","Hillary Clinton"
957,"bernie fans","bernie fans","All those who support bernie fans support bernie fans.","Hillary Clinton"
958,"bernie fans","hillary supporters","All those who are bernie fans are highly likely to oppose hillary supporters.","Hillary Clinton"
959,"bernie sanders","bernie","All those who support Bernie Sanders support Bernie.","Hillary Clinton"
960,"bernie sanders","bernie sanders","All those who support Bernie Sanders support Bernie Sanders.","Hillary Clinton"
961,"bernie sanders","sanders","All those who support bernie sanders support sanders.","Hillary Clinton"
962,"bernie sanders","sen sanders","All those who support bernie sanders support sen sanders.","Hillary Clinton"
963,"bigotry","bigotry","All those who support bigotry support bigotry.","Hillary Clinton"
964,"bigotry","discrimination","All those who support bigotry are highly likely to support discrimination.","Hillary Clinton"
965,"bigotry","everyday sexism","All those who oppose bigotry are likely to oppose everyday sexism.","Hillary Clinton"
966,"bigotry","lgbt discrimination","All those who support bigotry are highly likely to support LGBT discrimination.","Hillary Clinton"
967,"bigotry","racist","All those who support bigotry are highly likely to support racist.","Hillary Clinton"
968,"bigotry","sexism","All those who oppose bigotry are highly likely to oppose sexism.","Hillary Clinton"
969,"bill","bill","All those who support bill support bill.","Hillary Clinton"
970,"bill","bill ary","All those who support bill support bill ary","Hillary Clinton"
971,"bill","bill clinton","All those who support bill support Bill Clinton.","Hillary Clinton"
972,"bill","first amendment","All those who support the first amendment are highly likely to support Bill of Rights.","Hillary Clinton"
973,"bill ary","bill","All those who support bill ary support bill.","Hillary Clinton"
974,"bill ary","bill ary","All those who support bill ary support bill ary.","Hillary Clinton"
975,"bill ary","bill clinton","All those who support bill ary support Bill Clinton.","Hillary Clinton"
976,"bill ary","kill ary","All those who support bill ary support kill ary.","Hillary Clinton"
977,"bill clinton","barack obama","All those who support Bill Clinton are likely to support Barack Obama.","Hillary Clinton"
978,"bill clinton","bill","All those who support bill clinton support bill.","Hillary Clinton"
979,"bill clinton","bill ary","All those who support bill clinton support bill ary.","Hillary Clinton"
980,"bill clinton","bill clinton","All those who support bill clinton support bill clinton.","Hillary Clinton"
